,precision,recall,f1-score,support
0.0,0.985632183908046,0.9884726224783862,0.9870503597122302,347.0
1.0,0.9449275362318841,0.9702380952380952,0.9574155653450808,336.0
2.0,0.9164265129682997,0.9298245614035088,0.9230769230769231,342.0
3.0,0.9900709219858156,0.9830985915492958,0.9865724381625443,710.0
4.0,0.9805970149253731,0.9591240875912409,0.9697416974169742,685.0
5.0,0.9485396383866481,0.9498607242339833,0.9491997216423104,718.0
6.0,0.9753846153846154,0.9875389408099688,0.9814241486068113,321.0
7.0,0.9530026109660574,0.9707446808510638,0.9617918313570487,376.0
8.0,0.9362416107382551,0.9147540983606557,0.9253731343283581,305.0
accuracy,0.9625603864734299,0.9625603864734299,0.9625603864734299,0.9625603864734299
macro avg,0.9589802939438883,0.9615173780573554,0.9601828688498091,4140.0
weighted avg,0.9627100947240225,0.9625603864734299,0.9625760851924632,4140.0
