,precision,recall,f1-score,support
0.0,0.9097744360902256,0.968,0.937984496124031,250.0
1.0,0.9368029739776952,0.9264705882352942,0.9316081330868761,272.0
2.0,0.9710144927536232,0.9781021897810219,0.9745454545454545,274.0
3.0,0.946058091286307,0.9344262295081968,0.9402061855670103,244.0
4.0,0.9497907949790795,0.908,0.9284253578732107,250.0
5.0,0.9267399267399268,0.9166666666666666,0.9216757741347904,276.0
6.0,0.9111111111111111,0.917910447761194,0.9144981412639405,268.0
accuracy,0.935659760087241,0.935659760087241,0.935659760087241,0.935659760087241
macro avg,0.9358988324197098,0.9356537317074821,0.9355633632279019,1834.0
weighted avg,0.9359628459845194,0.935659760087241,0.9356072273951385,1834.0
