,precision,recall,f1-score,support
0.0,0.9707602339181286,0.9707602339181286,0.9707602339181286,171.0
1.0,0.9155844155844156,0.9591836734693877,0.93687707641196,147.0
2.0,0.9855072463768116,0.9577464788732394,0.9714285714285714,142.0
3.0,0.9355932203389831,0.9419795221843004,0.9387755102040816,293.0
4.0,0.93,0.9393939393939394,0.9346733668341709,198.0
5.0,0.9629629629629629,0.896551724137931,0.9285714285714286,174.0
6.0,0.9209039548022598,0.9476744186046512,0.9340974212034383,172.0
accuracy,0.943716268311488,0.943716268311488,0.943716268311488,0.943716268311488
macro avg,0.9459017191405088,0.9447557129402255,0.9450262297959685,1297.0
weighted avg,0.9442966749554994,0.943716268311488,0.9437367182087871,1297.0
