,precision,recall,f1-score,support
0.0,0.9591194968553459,0.9131736526946108,0.9355828220858895,334.0
1.0,0.9540983606557377,0.9864406779661017,0.9700000000000001,295.0
2.0,0.9748427672955975,0.9480122324159022,0.9612403100775194,327.0
3.0,0.9087136929460581,0.9647577092511013,0.9358974358974358,227.0
4.0,0.9576271186440678,0.9617021276595744,0.9596602972399151,235.0
5.0,0.9207920792079208,0.9457627118644067,0.9331103678929766,295.0
6.0,0.9703947368421053,0.9455128205128205,0.9577922077922078,312.0
accuracy,0.9506172839506173,0.9506172839506173,0.9506172839506173,0.9506172839506173
macro avg,0.9493697503495476,0.9521945617663595,0.9504690629979919,2025.0
weighted avg,0.951257143550604,0.9506172839506173,0.9506310415465339,2025.0
