,precision,recall,f1-score,support
0.0,0.9354838709677419,1.0,0.9666666666666666,116.0
1.0,0.8583333333333333,0.9279279279279279,0.8917748917748917,111.0
2.0,1.0,0.95,0.9743589743589743,180.0
3.0,0.9636363636363636,0.9906542056074766,0.9769585253456221,107.0
4.0,0.9212598425196851,0.936,0.9285714285714286,125.0
5.0,0.950920245398773,0.8707865168539326,0.909090909090909,178.0
6.0,0.9454545454545454,0.9570552147239264,0.9512195121951219,163.0
accuracy,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428
macro avg,0.9392983144729204,0.9474891235876092,0.9426629868576593,980.0
weighted avg,0.9443169335167164,0.9428571428571428,0.9428346069330188,980.0
