,precision,recall,f1-score,support
0.0,0.9501466275659824,0.9969230769230769,0.9729729729729729,325.0
1.0,1.0,0.9815950920245399,0.9907120743034055,489.0
2.0,0.980246913580247,0.9566265060240964,0.9682926829268292,415.0
3.0,0.9918032786885246,0.983739837398374,0.9877551020408164,369.0
4.0,0.9844097995545658,0.9888143176733781,0.9866071428571429,447.0
5.0,0.977728285077951,0.9909706546275395,0.9843049327354259,443.0
6.0,0.9879518072289156,0.9820359281437125,0.984984984984985,334.0
accuracy,0.982636428065202,0.982636428065202,0.982636428065202,0.982636428065202
macro avg,0.9817552445280268,0.9829579161163883,0.9822328418316539,2822.0
weighted avg,0.9828902364407135,0.982636428065202,0.9826516582785961,2822.0
