,precision,recall,f1-score,support
0.0,0.9819819819819819,1.0,0.9909090909090909,109.0
1.0,1.0,0.979381443298969,0.9895833333333333,97.0
2.0,0.9636363636363636,1.0,0.9814814814814815,53.0
3.0,1.0,0.9918032786885246,0.9958847736625513,122.0
4.0,1.0,1.0,1.0,89.0
5.0,1.0,0.9933333333333333,0.9966555183946488,150.0
6.0,1.0,1.0,1.0,136.0
accuracy,0.9947089947089947,0.9947089947089947,0.9947089947089947,0.9947089947089947
macro avg,0.9922311922311923,0.9949311507601182,0.9935020282544437,756.0
weighted avg,0.9948528615195281,0.9947089947089947,0.9947268027869991,756.0
