,precision,recall,f1-score,support
0.0,0.7840122982321291,0.7418181818181818,0.7623318385650224,1375.0
1.0,0.8569434752267969,0.953416149068323,0.902609334803381,1288.0
2.0,0.7506666666666667,0.7712328767123288,0.7608108108108108,1460.0
3.0,0.7839285714285714,0.8084714548802947,0.7960108794197642,1086.0
4.0,0.8547681539807525,0.8547681539807525,0.8547681539807525,1143.0
5.0,0.7923904052936311,0.7443667443667443,0.7676282051282052,1287.0
6.0,0.8470839260312945,0.8085539714867617,0.8273706147968044,1473.0
accuracy,0.8097014925373134,0.8097014925373134,0.8097014925373134,0.8097014925373134
macro avg,0.8099704995514061,0.8118039331876268,0.810218548214963,9112.0
weighted avg,0.8092231060933992,0.8097014925373134,0.808787655364684,9112.0
