,precision,recall,f1-score,support
0.0,0.8777614138438881,0.8777614138438881,0.8777614138438881,679.0
1.0,0.8003095975232198,0.8128930817610063,0.8065522620904837,636.0
2.0,0.9614643545279383,0.9614643545279383,0.9614643545279383,519.0
3.0,0.8128861429832304,0.8172138420585625,0.8150442477876105,1127.0
4.0,0.8746898263027295,0.8801498127340824,0.8774113254511513,801.0
5.0,0.8032305433186491,0.7916063675832128,0.7973760932944607,691.0
6.0,0.8838174273858921,0.8705722070844687,0.8771448181194235,734.0
accuracy,0.8529014844804319,0.8529014844804319,0.8529014844804319,0.8529014844804319
macro avg,0.8591656151265068,0.8588087256561655,0.858964930730708,5187.0
weighted avg,0.8529979632099067,0.8529014844804319,0.8529284277229008,5187.0
