,precision,recall,f1-score,support
0.0,0.9457013574660633,0.9646153846153847,0.955064737242955,650.0
1.0,0.9875776397515528,0.9824922760041195,0.9850283944243676,971.0
2.0,0.9688622754491018,0.9540094339622641,0.9613784907902554,848.0
3.0,0.9759493670886076,0.9759493670886076,0.9759493670886076,790.0
4.0,0.9842342342342343,0.9776286353467561,0.9809203142536477,894.0
5.0,0.9728453364817001,0.9915764139590855,0.9821215733015495,831.0
6.0,0.9923547400611621,0.9848254931714719,0.9885757806549886,659.0
accuracy,0.9760765550239234,0.9760765550239234,0.9760765550239234,0.9760765550239234
macro avg,0.9753607072189174,0.9758710005925272,0.975576951108053,5643.0
weighted avg,0.9761723611296369,0.9760765550239234,0.9760873362027476,5643.0
