,precision,recall,f1-score,support
0.0,0.9818181818181818,0.9938650306748467,0.9878048780487805,163.0
1.0,0.987012987012987,0.987012987012987,0.987012987012987,154.0
2.0,1.0,1.0,1.0,111.0
3.0,1.0,1.0,1.0,189.0
4.0,1.0,0.9919354838709677,0.9959514170040485,124.0
5.0,0.9945945945945946,0.9945945945945946,0.9945945945945946,185.0
6.0,0.9951690821256038,0.9903846153846154,0.9927710843373494,208.0
accuracy,0.9938271604938271,0.9938271604938271,0.9938271604938271,0.9938271604938271
macro avg,0.9940849779359098,0.9939703873625729,0.994019280142537,1134.0
weighted avg,0.9938549671238882,0.9938271604938271,0.9938329421275325,1134.0
