,precision,recall,f1-score,support
0.0,0.9345794392523364,0.9803921568627451,0.9569377990430622,102.0
1.0,0.9918032786885246,0.968,0.9797570850202428,125.0
2.0,0.9714285714285714,0.9659090909090909,0.9686609686609686,176.0
3.0,1.0,1.0,1.0,129.0
4.0,0.9915966386554622,0.959349593495935,0.9752066115702479,123.0
5.0,0.9808917197452229,0.9685534591194969,0.9746835443037974,159.0
6.0,0.9707602339181286,1.0,0.9851632047477744,166.0
accuracy,0.9775510204081632,0.9775510204081632,0.9775510204081632,0.9775510204081632
macro avg,0.9772942688126066,0.9774577571981811,0.977201316192299,980.0
weighted avg,0.977906438811994,0.9775510204081632,0.9775753167039062,980.0
