,precision,recall,f1-score,support
0.0,0.9655172413793104,0.9790209790209791,0.9722222222222222,143.0
1.0,0.968503937007874,0.984,0.976190476190476,125.0
2.0,0.9925373134328358,0.9779411764705882,0.9851851851851852,136.0
3.0,0.9615384615384616,0.9765625,0.9689922480620154,128.0
4.0,0.9699248120300752,0.9847328244274809,0.9772727272727273,131.0
5.0,0.9915254237288136,0.975,0.9831932773109243,120.0
6.0,0.9923076923076923,0.9626865671641791,0.9772727272727273,134.0
accuracy,0.9770992366412213,0.9770992366412213,0.9770992366412213,0.9770992366412213
macro avg,0.9774078402035803,0.9771348638690325,0.9771898376451826,917.0
weighted avg,0.9773243046233835,0.9770992366412213,0.9771300395237666,917.0
