,precision,recall,f1-score,support
0.0,0.9548022598870056,0.9712643678160919,0.9629629629629629,174.0
1.0,0.9914163090128756,0.9829787234042553,0.9871794871794872,235.0
2.0,0.9797979797979798,0.9847715736040609,0.9822784810126582,197.0
3.0,0.9774011299435028,0.9829545454545454,0.9801699716713881,176.0
4.0,0.9746835443037974,0.9871794871794872,0.980891719745223,234.0
5.0,0.9911504424778761,0.9781659388646288,0.9846153846153847,229.0
6.0,0.9938650306748467,0.9759036144578314,0.9848024316109423,166.0
accuracy,0.9808646350106307,0.9808646350106307,0.9808646350106307,0.9808646350106307
macro avg,0.9804452422996975,0.9804597501115573,0.980414348399721,1411.0
weighted avg,0.9810008664175549,0.9808646350106307,0.9808960311559991,1411.0
