,precision,recall,f1-score,support
0.0,0.5119182746878547,0.33432171979243885,0.4044843049327354,1349.0
1.0,0.6126760563380281,0.6692307692307692,0.6397058823529411,1950.0
2.0,0.3551660516605166,0.22821576763485477,0.277878022374594,1687.0
3.0,0.49466666666666664,0.742,0.5936,1500.0
4.0,0.6416184971098265,0.37,0.4693446088794926,1800.0
5.0,0.5659340659340659,0.6866666666666666,0.6204819277108433,1650.0
6.0,0.6247368421052631,0.8799110452186805,0.7306863650353955,1349.0
accuracy,0.5529463890119628,0.5529463890119628,0.5529463890119628,0.5529463890119628
macro avg,0.5438166363574602,0.5586208526490586,0.5337401587551432,11285.0
weighted avg,0.5456744080773823,0.5529463890119628,0.5322611789833551,11285.0
