,precision,recall,f1-score,support
0.0,0.6201923076923077,0.559652928416486,0.588369441277081,461.0
1.0,0.4015748031496063,0.33260869565217394,0.36385255648038056,460.0
2.0,0.6428571428571429,0.7673410404624278,0.699604743083004,692.0
3.0,0.8580931263858093,0.841304347826087,0.849615806805708,460.0
4.0,0.5647058823529412,0.6247288503253796,0.5932028836251287,461.0
5.0,0.5947136563876652,0.5861070911722142,0.5903790087463556,691.0
6.0,0.7055214723926381,0.6647398843930635,0.6845238095238095,692.0
accuracy,0.6336482001531785,0.6336482001531785,0.6336482001531785,0.6336482001531785
macro avg,0.6268083416025872,0.6252118340354046,0.624221178505924,3917.0
weighted avg,0.6305107101133204,0.6336482001531785,0.6302448665660368,3917.0
