,precision,recall,f1-score,support
0.0,0.5627240143369175,0.5688405797101449,0.5657657657657658,1380.0
1.0,0.363682092555332,0.5239130434782608,0.42933491686460806,1380.0
2.0,0.1609344581440623,0.17971014492753623,0.16980486134885314,1380.0
3.0,0.5726065048098946,0.4528985507246377,0.5057657293141816,2760.0
4.0,0.5397386082656305,0.553623188405797,0.5465927383294581,2760.0
5.0,0.4103908484270734,0.3119565217391304,0.3544668587896254,2760.0
6.0,0.45523941707147814,0.4753623188405797,0.4650833037929812,1380.0
7.0,0.3650909090909091,0.36376811594202896,0.3644283121597096,1380.0
8.0,0.23711943793911008,0.29347826086956524,0.2623056994818653,1380.0
accuracy,0.4201690821256039,0.4201690821256039,0.4201690821256039,0.4201690821256039
macro avg,0.40750292118226755,0.4137278582930757,0.4070609095385609,16560.0
weighted avg,0.4325218543452505,0.4201690821256039,0.42253112602335946,16560.0
