,precision,recall,f1-score,support
0.0,0.4355016538037486,0.580029368575624,0.49748110831234243,681.0
1.0,0.4123314065510597,0.34022257551669316,0.3728222996515679,629.0
2.0,0.7259953161592506,0.5916030534351145,0.6519453207150369,524.0
3.0,0.37384615384615383,0.421875,0.39641109298531807,1152.0
4.0,0.4353982300884956,0.31297709923664124,0.36417468541820874,786.0
5.0,0.2594654788418708,0.342143906020558,0.29512349588347053,681.0
6.0,0.3912280701754386,0.3042291950886767,0.3422870299309286,733.0
accuracy,0.40628615503278054,0.40628615503278054,0.40628615503278054,0.40628615503278054
macro avg,0.43339518706657393,0.4132971711247583,0.41717786184241046,5186.0
weighted avg,0.4189576882450162,0.40628615503278054,0.40680516482646234,5186.0
