,precision,recall,f1-score,support
0.0,0.3642329778506973,0.3690773067331671,0.3666391412056152,1203.0
1.0,0.7973273942093542,0.6188418323249784,0.6968369829683697,1157.0
2.0,0.4123581336696091,0.5046296296296297,0.453851492019431,1296.0
3.0,0.2903225806451613,0.3611111111111111,0.3218707015130674,972.0
4.0,0.5072625698324023,0.44597249508840864,0.4746471510716153,1018.0
5.0,0.41597796143250687,0.3915298184961106,0.4033837934105076,1157.0
6.0,0.45552784704904403,0.4228395061728395,0.4385754301720688,1296.0
accuracy,0.44696876157550314,0.44696876157550314,0.44696876157550314,0.44696876157550314
macro avg,0.46328706638411077,0.4448573856508921,0.45082924176581074,8099.0
weighted avg,0.46491340218790944,0.44696876157550314,0.4527295638921479,8099.0
