,precision,recall,f1-score,support
0.0,0.5126436781609195,0.3274596182085169,0.39964157706093184,681.0
1.0,0.4349240780911063,0.6375198728139905,0.5170857511283042,629.0
2.0,0.5738498789346247,0.45229007633587787,0.5058697972251867,524.0
3.0,0.3675937122128174,0.26366001734605377,0.30707070707070705,1153.0
4.0,0.37684365781710916,0.6509554140127388,0.47734703409621676,785.0
5.0,0.2912751677852349,0.3186490455212922,0.30434782608695654,681.0
6.0,0.5623721881390593,0.3746594005449591,0.44971381847914965,734.0
accuracy,0.41796799691536535,0.41796799691536535,0.41796799691536535,0.41796799691536535
macro avg,0.4456431944486959,0.4321704921119185,0.4230109301639219,5187.0
weighted avg,0.4345811304091496,0.41796799691536535,0.41037196540026305,5187.0
