,precision,recall,f1-score,support
0.0,0.3704414587332054,0.41865509761388287,0.39307535641547864,461.0
1.0,0.4194260485651214,0.4121475054229935,0.41575492341356673,461.0
2.0,0.5656565656565656,0.48625180897250364,0.5229571984435798,691.0
3.0,0.8901098901098901,0.8785249457700651,0.8842794759825329,461.0
4.0,0.5290423861852434,0.7310195227765727,0.6138433515482696,461.0
5.0,0.5980113636363636,0.6092619392185239,0.603584229390681,691.0
6.0,0.7124773960216998,0.5701881331403763,0.6334405144694534,691.0
accuracy,0.5810569313249936,0.5810569313249936,0.5810569313249936,0.5810569313249936
macro avg,0.5835950155582985,0.5865784218449883,0.5809907213805089,3917.0
weighted avg,0.590955971414091,0.5810569313249936,0.581989508456665,3917.0
