,precision,recall,f1-score,support
0.0,0.43508771929824563,0.4946808510638298,0.46297448662103297,752.0
1.0,0.7605985037406484,0.8437067773167358,0.8000000000000002,723.0
2.0,0.7235099337748344,0.5395061728395062,0.6181046676096181,810.0
3.0,0.5590909090909091,0.4052718286655684,0.4699140401146132,607.0
4.0,0.5943970767356882,0.7660910518053375,0.6694101508916324,637.0
5.0,0.40099833610648916,0.3333333333333333,0.36404833836858,723.0
6.0,0.5527156549520766,0.6407407407407407,0.5934819897084047,810.0
accuracy,0.5754642433820625,0.5754642433820625,0.5754642433820625,0.5754642433820625
macro avg,0.5751997333855561,0.5747615365378645,0.5682762390448403,5062.0
weighted avg,0.576602593182413,0.5754642433820625,0.5694984281854285,5062.0
