,precision,recall,f1-score,support
0.0,0.8625,0.7666666666666667,0.8117647058823529,270.0
1.0,0.875,0.8611111111111112,0.8680000000000001,252.0
2.0,0.7802197802197802,0.8765432098765432,0.8255813953488372,162.0
3.0,0.9124579124579124,0.9409722222222222,0.9264957264957265,288.0
4.0,0.918918918918919,0.8717948717948718,0.8947368421052632,234.0
5.0,0.8987730061349694,0.904320987654321,0.9015384615384615,324.0
6.0,0.9333333333333333,0.9722222222222222,0.9523809523809524,360.0
accuracy,0.891005291005291,0.891005291005291,0.891005291005291,0.891005291005291
macro avg,0.8830289930092735,0.8848044702211368,0.882928297678799,1890.0
weighted avg,0.8914222032794922,0.891005291005291,0.8903764292665356,1890.0
