,precision,recall,f1-score,support
0.0,0.706777316735823,0.6061684460260973,0.6526181353767561,843.0
1.0,0.9218372280419017,0.9384741591468416,0.9300813008130081,1219.0
2.0,0.5988315481986368,0.5834914611005693,0.5910619894281596,1054.0
3.0,0.6450344149459194,0.6993603411513859,0.6710997442455242,938.0
4.0,0.9252525252525252,0.8142222222222222,0.866193853427896,1125.0
5.0,0.7103882476390346,0.6566440349175557,0.6824596774193549,1031.0
6.0,0.6751361161524501,0.8825622775800712,0.765038560411311,843.0
accuracy,0.7462072876790018,0.7462072876790018,0.7462072876790018,0.7462072876790018
macro avg,0.7404653424237557,0.7401318488778205,0.7369361801602871,7053.0
weighted avg,0.7511984562815063,0.7462072876790018,0.7456980872998322,7053.0
