,precision,recall,f1-score,support
0.0,0.9316239316239316,0.9478260869565217,0.939655172413793,345.0
1.0,0.5673289183222958,0.744927536231884,0.6441102756892231,345.0
2.0,0.013986013986013986,0.011594202898550725,0.012678288431061807,345.0
3.0,0.8728571428571429,0.8855072463768116,0.879136690647482,690.0
4.0,0.7351598173515982,0.7,0.7171492204899778,690.0
5.0,0.3552479815455594,0.4463768115942029,0.3956326268464997,690.0
6.0,0.8517350157728707,0.782608695652174,0.8157099697885197,345.0
7.0,0.7371428571428571,0.3739130434782609,0.4961538461538461,345.0
8.0,0.41916167664670656,0.4057971014492754,0.4123711340206186,345.0
accuracy,0.6108695652173913,0.6108695652173913,0.6108695652173913,0.6108695652173913
macro avg,0.6093603728054418,0.5887278582930756,0.5902885804978913,4140.0
weighted avg,0.6206256914169397,0.6108695652173913,0.6087096468720817,4140.0
