,precision,recall,f1-score,support
0.0,0.6276595744680851,0.45038167938931295,0.5244444444444445,262.0
1.0,0.5,0.2862595419847328,0.3640776699029126,262.0
2.0,0.851985559566787,0.9007633587786259,0.8756957328385899,262.0
3.0,0.45454545454545453,0.5343511450381679,0.49122807017543857,262.0
4.0,0.4766355140186916,0.7786259541984732,0.591304347826087,262.0
5.0,0.6167664670658682,0.3931297709923664,0.4801864801864802,262.0
6.0,0.5949367088607594,0.7175572519083969,0.6505190311418685,262.0
accuracy,0.5801526717557252,0.5801526717557252,0.5801526717557252,0.5801526717557252
macro avg,0.5889327540750923,0.5801526717557252,0.5682079680736888,1834.0
weighted avg,0.5889327540750924,0.5801526717557252,0.5682079680736888,1834.0
