,precision,recall,f1-score,support
0.0,0.453125,0.6783625730994152,0.5433255269320842,171.0
1.0,0.38738738738738737,0.5477707006369427,0.45382585751978893,157.0
2.0,0.875,0.26717557251908397,0.40935672514619875,131.0
3.0,0.45416666666666666,0.3784722222222222,0.41287878787878785,288.0
4.0,0.44,0.39285714285714285,0.4150943396226415,196.0
5.0,0.1497326203208556,0.16374269005847952,0.15642458100558657,171.0
6.0,0.480225988700565,0.4644808743169399,0.47222222222222227,183.0
accuracy,0.41326137239784116,0.41326137239784116,0.41326137239784116,0.41326137239784116
macro avg,0.46280538043935354,0.4132659679586038,0.40901829147533003,1297.0
weighted avg,0.4498495210693057,0.41326137239784116,0.40957433093592593,1297.0
