,precision,recall,f1-score,support
0.0,0.534965034965035,0.5083056478405316,0.5212947189097105,301.0
1.0,0.8260869565217391,0.7889273356401384,0.8070796460176991,289.0
2.0,0.4712041884816754,0.5555555555555556,0.509915014164306,324.0
3.0,0.2871287128712871,0.23868312757201646,0.2606741573033708,243.0
4.0,0.7188612099644128,0.792156862745098,0.753731343283582,255.0
5.0,0.5251798561151079,0.5051903114186851,0.5149911816578483,289.0
6.0,0.55,0.5432098765432098,0.546583850931677,324.0
accuracy,0.5644444444444444,0.5644444444444444,0.5644444444444444,0.5644444444444444
macro avg,0.5590608512741796,0.5617183881878907,0.5591814160383134,2025.0
weighted avg,0.5607370998583877,0.5644444444444444,0.5614020368608332,2025.0
