,precision,recall,f1-score,support
0.0,0.811965811965812,0.8189655172413793,0.8154506437768241,116.0
1.0,0.3793103448275862,0.3826086956521739,0.38095238095238093,115.0
2.0,0.8787878787878788,0.838150289017341,0.8579881656804734,173.0
3.0,0.8073394495412844,0.7652173913043478,0.7857142857142858,115.0
4.0,0.6241610738255033,0.808695652173913,0.7045454545454547,115.0
5.0,0.5329341317365269,0.5144508670520231,0.5235294117647059,173.0
6.0,0.8726114649681529,0.791907514450867,0.8303030303030304,173.0
accuracy,0.7051020408163265,0.7051020408163265,0.7051020408163265,0.7051020408163265
macro avg,0.7010157365218206,0.7028565609845778,0.6997833389624508,980.0
weighted avg,0.7118581380516323,0.7051020408163265,0.7065577895489243,980.0
