,precision,recall,f1-score,support
0.0,0.34615384615384615,0.6124260355029586,0.4423076923076923,338.0
1.0,0.6348314606741573,0.6960985626283368,0.6640548481880509,487.0
2.0,0.5392491467576792,0.3744075829383886,0.44195804195804195,422.0
3.0,0.9743589743589743,0.5066666666666667,0.6666666666666667,375.0
4.0,0.6076759061833689,0.6333333333333333,0.6202393906420022,450.0
5.0,0.6666666666666666,0.6359223300970874,0.6509316770186335,412.0
6.0,0.85,0.8550295857988166,0.8525073746312684,338.0
accuracy,0.6130403968816442,0.6130403968816442,0.6130403968816442,0.6130403968816442
macro avg,0.6598480001135274,0.6162691567093697,0.6198093844874794,2822.0
weighted avg,0.6571692066314151,0.6130403968816442,0.6182991049326084,2822.0
