,precision,recall,f1-score,support
0.0,0.7176470588235294,0.5648148148148148,0.6321243523316061,108.0
1.0,0.8,0.7920792079207921,0.7960199004975126,101.0
2.0,0.5423728813559322,0.49230769230769234,0.5161290322580645,65.0
3.0,0.6474358974358975,0.8782608695652174,0.7453874538745386,115.0
4.0,0.8142857142857143,0.6063829787234043,0.6951219512195123,94.0
5.0,0.8111888111888111,0.8992248062015504,0.8529411764705883,129.0
6.0,0.8531468531468531,0.8472222222222222,0.8501742160278747,144.0
accuracy,0.7526455026455027,0.7526455026455027,0.7526455026455027,0.7526455026455027
macro avg,0.7408681737481053,0.7257560845365276,0.7268425832399569,756.0
weighted avg,0.7566859900602719,0.7526455026455027,0.7483218870129132,756.0
