,precision,recall,f1-score,support
0.0,0.903954802259887,0.927536231884058,0.9155937052932761,345.0
1.0,0.6758104738154613,0.7855072463768116,0.7265415549597855,345.0
2.0,0.42,0.3652173913043478,0.3906976744186046,345.0
3.0,0.9484978540772532,0.9608695652173913,0.9546436285097192,690.0
4.0,0.9030694668820679,0.8101449275362319,0.8540870893812071,690.0
5.0,0.5463087248322148,0.5898550724637681,0.567247386759582,690.0
6.0,0.9970674486803519,0.9855072463768116,0.9912536443148688,345.0
7.0,0.746177370030581,0.7072463768115942,0.7261904761904763,345.0
8.0,0.3757062146892655,0.3855072463768116,0.3805436337625179,345.0
accuracy,0.7398550724637681,0.7398550724637681,0.7398550724637681,0.7398550724637681
macro avg,0.7240658172518981,0.7241545893719806,0.7229776437322264,4140.0
weighted avg,0.7428723667548849,0.7398550724637681,0.7402314081867121,4140.0
