,precision,recall,f1-score,support
0.0,0.8899082568807339,0.7404580152671756,0.8083333333333333,262.0
1.0,0.717391304347826,0.12595419847328243,0.21428571428571425,262.0
2.0,0.6480836236933798,0.7099236641221374,0.6775956284153005,262.0
3.0,0.4158730158730159,0.5,0.4540727902946274,262.0
4.0,0.2908805031446541,0.7061068702290076,0.4120267260579064,262.0
5.0,0.8076923076923077,0.48091603053435117,0.6028708133971292,262.0
6.0,0.5511363636363636,0.3702290076335878,0.4429223744292237,262.0
accuracy,0.5190839694656488,0.5190839694656488,0.5190839694656488,0.5190839694656488
macro avg,0.6172807678954687,0.5190839694656488,0.5160153400304621,1834.0
weighted avg,0.6172807678954688,0.5190839694656488,0.5160153400304621,1834.0
