,precision,recall,f1-score,support
0.0,0.7379310344827587,0.6294117647058823,0.6793650793650794,170.0
1.0,0.4142857142857143,0.36942675159235666,0.39057239057239057,157.0
2.0,0.6993865030674846,0.8702290076335878,0.7755102040816327,131.0
3.0,0.6208955223880597,0.7197231833910035,0.6666666666666666,289.0
4.0,0.6076555023923444,0.6479591836734694,0.6271604938271604,196.0
5.0,0.4429530201342282,0.38823529411764707,0.4137931034482759,170.0
6.0,0.6602564102564102,0.5597826086956522,0.6058823529411765,184.0
accuracy,0.6037008481110254,0.6037008481110254,0.6037008481110254,0.6037008481110254
macro avg,0.5976233867152858,0.5978239705442283,0.5941357558431974,1297.0
weighted avg,0.5994134481540583,0.6037008481110254,0.5981658207639137,1297.0
