,precision,recall,f1-score,support
0.0,0.6730158730158731,0.7043189368770764,0.6883116883116883,301.0
1.0,0.7777777777777778,0.8719723183391004,0.8221859706362155,289.0
2.0,0.6761006289308176,0.6635802469135802,0.6697819314641743,324.0
3.0,0.5229357798165137,0.4691358024691358,0.4945770065075922,243.0
4.0,0.7874396135265701,0.6392156862745098,0.7056277056277057,255.0
5.0,0.5910652920962199,0.5951557093425606,0.5931034482758621,289.0
6.0,0.6136363636363636,0.6666666666666666,0.6390532544378698,324.0
accuracy,0.6637037037037037,0.6637037037037037,0.6637037037037037,0.6637037037037037
macro avg,0.6631387612571622,0.6585779095546613,0.6589487150373011,2025.0
weighted avg,0.6636635587692928,0.6637037037037037,0.6619162162943608,2025.0
