,precision,recall,f1-score,support
0.0,0.819047619047619,0.7478260869565218,0.781818181818182,115.0
1.0,0.475,0.4956521739130435,0.48510638297872344,115.0
2.0,0.8516483516483516,0.8959537572254336,0.8732394366197184,173.0
3.0,0.9576271186440678,0.9826086956521739,0.9699570815450643,115.0
4.0,0.9069767441860465,0.6724137931034483,0.7722772277227723,116.0
5.0,0.6369047619047619,0.622093023255814,0.6294117647058823,172.0
6.0,0.79,0.9132947976878613,0.8471849865951743,173.0
accuracy,0.7701736465781409,0.7701736465781409,0.7701736465781409,0.7701736465781409
macro avg,0.7767435136329782,0.7614060468277566,0.7655707231407882,979.0
weighted avg,0.7739577947322872,0.7701736465781409,0.7688639392142556,979.0
