,precision,recall,f1-score,support
0.0,0.8136094674556213,0.8160237388724035,0.8148148148148148,337.0
1.0,0.8510204081632653,0.8545081967213115,0.8527607361963191,488.0
2.0,0.7816901408450704,0.7890995260663507,0.785377358490566,422.0
3.0,0.8567774936061381,0.8933333333333333,0.8746736292428199,375.0
4.0,0.8655097613882863,0.8866666666666667,0.8759604829857299,450.0
5.0,0.8808933002481389,0.8616504854368932,0.8711656441717791,412.0
6.0,0.8397435897435898,0.7774480712166172,0.8073959938366718,337.0
accuracy,0.8422545196738745,0.8422545196738745,0.8422545196738745,0.8422545196738745
macro avg,0.8413205944928727,0.8398185740447967,0.840306951391243,2821.0
weighted avg,0.8422723046174022,0.8422545196738745,0.8420299896387035,2821.0
