,precision,recall,f1-score,support
0.0,0.9122807017543859,0.9629629629629629,0.9369369369369369,108.0
1.0,0.9574468085106383,0.8910891089108911,0.9230769230769231,101.0
2.0,0.9552238805970149,0.9846153846153847,0.9696969696969696,65.0
3.0,1.0,0.9826086956521739,0.9912280701754386,115.0
4.0,0.9787234042553191,0.989247311827957,0.983957219251337,93.0
5.0,1.0,0.8846153846153846,0.9387755102040816,130.0
6.0,0.8867924528301887,0.9791666666666666,0.9306930693069307,144.0
accuracy,0.951058201058201,0.951058201058201,0.951058201058201,0.951058201058201
macro avg,0.9557810354210782,0.9534722164644888,0.9534806712355168,756.0
weighted avg,0.9537531554115688,0.951058201058201,0.9510715994941004,756.0
