,precision,recall,f1-score,support
0.0,0.0,0.0,0.0,111.0
1.0,0.0,0.0,0.0,133.0
2.0,0.0,0.0,0.0,164.0
3.0,0.11842105263157894,0.5094339622641509,0.19217081850533804,106.0
4.0,0.10877862595419847,0.5533980582524272,0.18181818181818182,103.0
5.0,0.0,0.0,0.0,174.0
6.0,0.0,0.0,0.0,189.0
accuracy,0.11326530612244898,0.11326530612244898,0.11326530612244898,0.11326530612244898
macro avg,0.032457096940825346,0.15183314578808257,0.05342700004621713,980.0
weighted avg,0.024241663318601846,0.11326530612244898,0.039895285192692406,980.0
