,precision,recall,f1-score,support
0.0,0.17536534446764093,0.22950819672131148,0.1988165680473373,366.0
1.0,0.09933774834437085,0.13761467889908258,0.11538461538461538,327.0
2.0,0.14078674948240166,0.19047619047619047,0.16190476190476188,357.0
3.0,0.24511930585683298,0.16305916305916307,0.19584055459272096,693.0
4.0,0.25065963060686014,0.1390922401171303,0.17890772128060267,683.0
5.0,0.27358490566037735,0.1683599419448476,0.20844564240790656,689.0
6.0,0.10987261146496816,0.22258064516129034,0.1471215351812367,310.0
7.0,0.13404825737265416,0.14124293785310735,0.13755158184319122,354.0
8.0,0.15869565217391304,0.20221606648199447,0.17783191230207063,361.0
accuracy,0.17222222222222222,0.17222222222222222,0.17222222222222222,0.17222222222222222
macro avg,0.17638557838111324,0.17712778452379085,0.16908943254938258,4140.0
weighted avg,0.19693211572731792,0.17222222222222222,0.17592425481697346,4140.0
