,precision,recall,f1-score,support
0.0,0.10526315789473684,0.024539877300613498,0.03980099502487562,163.0
1.0,0.0,0.0,0.0,164.0
2.0,0.0,0.0,0.0,134.0
3.0,0.0,0.0,0.0,277.0
4.0,0.13043478260869565,0.38860103626943004,0.19531250000000003,193.0
5.0,0.0,0.0,0.0,195.0
6.0,0.14327485380116958,0.5730994152046783,0.22923976608187135,171.0
accuracy,0.13646877409406322,0.13646877409406322,0.13646877409406322,0.13646877409406322
macro avg,0.054138970614943153,0.140891475539246,0.06633618015810672,1297.0
weighted avg,0.05152799366254461,0.13646877409406322,0.06428903214267906,1297.0
