,precision,recall,f1-score,support
0.0,0.13541666666666666,0.22740524781341107,0.16974972796517954,343.0
1.0,0.0,0.0,0.0,489.0
2.0,0.0,0.0,0.0,409.0
3.0,0.1363306744017404,0.5481049562682215,0.21835075493612083,343.0
4.0,0.0,0.0,0.0,455.0
5.0,0.0,0.0,0.0,449.0
6.0,0.13610149942329874,0.3532934131736527,0.1965029142381349,334.0
accuracy,0.13607370659107015,0.13607370659107015,0.13607370659107015,0.13607370659107015
macro avg,0.05826412007024368,0.1612576596078979,0.08351477101991933,2822.0
weighted avg,0.04913793011830099,0.13607370659107015,0.0704289294793349,2822.0
