,precision,recall,f1-score,support
0.0,0.18604651162790697,0.1415929203539823,0.16080402010050251,113.0
1.0,0.1640625,0.21,0.1842105263157895,100.0
2.0,0.12280701754385964,0.21875,0.15730337078651685,64.0
3.0,0.18446601941747573,0.152,0.16666666666666669,125.0
4.0,0.22666666666666666,0.16666666666666666,0.19209039548022597,102.0
5.0,0.21100917431192662,0.184,0.19658119658119658,125.0
6.0,0.24113475177304963,0.2677165354330709,0.2537313432835821,127.0
accuracy,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
macro avg,0.19088466304869786,0.19153230320767425,0.18734107417349719,756.0
weighted avg,0.19638580374089035,0.19047619047619047,0.19032064348578528,756.0
