,precision,recall,f1-score,support
0.0,0.6873449131513648,0.8523076923076923,0.7609890109890111,325.0
1.0,0.8375350140056023,0.9006024096385542,0.8679245283018868,332.0
2.0,0.8648648648648649,0.9142857142857143,0.888888888888889,350.0
3.0,0.8861788617886179,0.7956204379562044,0.8384615384615385,685.0
4.0,0.9375,0.920114122681883,0.9287257019438445,701.0
5.0,0.9265625,0.8471428571428572,0.8850746268656717,700.0
6.0,0.8103896103896104,0.8297872340425532,0.8199737187910645,376.0
7.0,0.9576547231270358,0.8936170212765957,0.9245283018867925,329.0
8.0,0.8133333333333334,0.8918128654970761,0.8507670850767084,342.0
accuracy,0.8671497584541062,0.8671497584541062,0.8671497584541062,0.8671497584541062
macro avg,0.8579293134067144,0.8716989283143478,0.8628148223561564,4140.0
weighted avg,0.8731642733978859,0.8671497584541062,0.8683480351391194,4140.0
