,precision,recall,f1-score,support
0.0,0.8130081300813008,0.9009009009009009,0.8547008547008547,111.0
1.0,0.9477611940298507,0.9548872180451128,0.9513108614232209,133.0
2.0,0.922077922077922,0.8658536585365854,0.8930817610062892,164.0
3.0,0.9906542056074766,1.0,0.9953051643192489,106.0
4.0,0.8807339449541285,0.9320388349514563,0.9056603773584906,103.0
5.0,0.975609756097561,0.9195402298850575,0.9467455621301775,174.0
6.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,189.0
accuracy,0.9295918367346939,0.9295918367346939,0.9295918367346939,0.9295918367346939
macro avg,0.9260323007470275,0.932228827814295,0.9284550761884621,980.0
weighted avg,0.9316305715830787,0.9295918367346939,0.9299802472882964,980.0
