,precision,recall,f1-score,support
0.0,0.9206349206349206,0.9508196721311475,0.9354838709677418,244.0
1.0,0.8945578231292517,0.926056338028169,0.9100346020761245,284.0
2.0,0.9595588235294118,0.9525547445255474,0.9560439560439561,274.0
3.0,0.9505703422053232,0.8896797153024911,0.9191176470588236,281.0
4.0,0.924812030075188,0.9498069498069498,0.9371428571428572,259.0
5.0,0.9541666666666667,0.916,0.9346938775510205,250.0
6.0,0.8825910931174089,0.9008264462809917,0.8916155419222904,242.0
accuracy,0.9263904034896401,0.9263904034896401,0.9263904034896401,0.9263904034896401
macro avg,0.9266988141940243,0.9265348380107568,0.926304621823259,1834.0
weighted avg,0.9271394510364974,0.9263904034896401,0.9264451607515111,1834.0
