,precision,recall,f1-score,support
0.0,0.8626760563380281,0.875,0.8687943262411348,280.0
1.0,0.8986928104575164,0.9417808219178082,0.919732441471572,292.0
2.0,0.9050632911392406,0.8719512195121951,0.8881987577639753,328.0
3.0,0.8861788617886179,0.8616600790513834,0.8737474949899801,253.0
4.0,0.8254545454545454,0.9007936507936508,0.8614800759013281,252.0
5.0,0.8339483394833949,0.773972602739726,0.8028419182948491,292.0
6.0,0.8685015290519877,0.8658536585365854,0.8671755725190841,328.0
accuracy,0.8696296296296296,0.8696296296296296,0.8696296296296296,0.8696296296296296
macro avg,0.8686450619590472,0.8701445760787642,0.868852941025989,2025.0
weighted avg,0.8698407753418185,0.8696296296296296,0.8692187654774103,2025.0
