,precision,recall,f1-score,support
0.0,0.95,0.9895833333333334,0.9693877551020408,96.0
1.0,0.9504132231404959,0.9663865546218487,0.9583333333333334,119.0
2.0,0.9242424242424242,0.9242424242424242,0.9242424242424242,66.0
3.0,0.9803921568627451,0.970873786407767,0.975609756097561,103.0
4.0,0.9813084112149533,0.9813084112149533,0.9813084112149533,107.0
5.0,0.9925373134328358,0.9432624113475178,0.9672727272727273,141.0
6.0,0.9761904761904762,0.9919354838709677,0.9840000000000001,124.0
accuracy,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9682539682539683
macro avg,0.9650120007262758,0.9667989150055446,0.9657363438947199,756.0
weighted avg,0.9686176533759664,0.9682539682539683,0.9682435854232352,756.0
