,precision,recall,f1-score,support
0.0,0.9306569343065694,0.9444444444444444,0.9375,270.0
1.0,0.8866396761133604,0.9012345679012346,0.8938775510204082,243.0
2.0,0.9839357429718876,0.9459459459459459,0.9645669291338583,259.0
3.0,0.9073359073359073,0.9215686274509803,0.914396887159533,255.0
4.0,0.9097744360902256,0.9201520912547528,0.9149338374291116,263.0
5.0,0.8807017543859649,0.9028776978417267,0.8916518650088809,278.0
6.0,0.937007874015748,0.8947368421052632,0.9153846153846154,266.0
accuracy,0.9187568157033806,0.9187568157033806,0.9187568157033806,0.9187568157033806
macro avg,0.9194360464599518,0.9187086024206211,0.9189016693052011,1834.0
weighted avg,0.9194605704786869,0.9187568157033806,0.9189369744699796,1834.0
