,precision,recall,f1-score,support
0.0,0.9337016574585635,0.949438202247191,0.9415041782729805,178.0
1.0,0.9152542372881356,0.9585798816568047,0.9364161849710982,169.0
2.0,0.9743589743589743,0.957983193277311,0.9661016949152542,119.0
3.0,0.9547169811320755,0.9267399267399268,0.9405204460966543,273.0
4.0,0.921875,0.8984771573604061,0.9100257069408739,197.0
5.0,0.9010989010989011,0.9162011173184358,0.9085872576177285,179.0
6.0,0.9289617486338798,0.9340659340659341,0.9315068493150686,182.0
accuracy,0.9321511179645335,0.9321511179645335,0.9321511179645335,0.9321511179645335
macro avg,0.93285249999579,0.9344979160951442,0.933523188304237,1297.0
weighted avg,0.9324906950463865,0.9321511179645335,0.9321639879940447,1297.0
