,precision,recall,f1-score,support
0.0,0.9022988505747126,0.9154518950437318,0.9088277858176554,343.0
1.0,0.8591549295774648,0.8732106339468303,0.8661257606490873,489.0
2.0,0.8942065491183879,0.8679706601466992,0.8808933002481388,409.0
3.0,0.9253731343283582,0.9037900874635568,0.9144542772861357,343.0
4.0,0.8484162895927602,0.8241758241758241,0.8361204013377926,455.0
5.0,0.8030634573304157,0.8173719376391982,0.8101545253863134,449.0
6.0,0.8988439306358381,0.9311377245508982,0.9147058823529411,334.0
accuracy,0.871367824238129,0.871367824238129,0.871367824238129,0.871367824238129
macro avg,0.8759081630225626,0.8761583947095339,0.8758974190111521,2822.0
weighted avg,0.8715689251994991,0.871367824238129,0.8713368297719791,2822.0
