,precision,recall,f1-score,support
0.0,0.9244186046511628,0.9578313253012049,0.9408284023668639,166.0
1.0,0.8805031446540881,0.8974358974358975,0.8888888888888888,156.0
2.0,0.9609375,0.9111111111111111,0.935361216730038,135.0
3.0,0.9103448275862069,0.88,0.8949152542372882,300.0
4.0,0.864321608040201,0.8514851485148515,0.85785536159601,202.0
5.0,0.8719512195121951,0.8827160493827161,0.8773006134969324,162.0
6.0,0.8972972972972973,0.9431818181818182,0.9196675900277008,176.0
accuracy,0.899768696993061,0.899768696993061,0.899768696993061,0.899768696993061
macro avg,0.9013963145344501,0.9033944785610856,0.9021167610491032,1297.0
weighted avg,0.9000889563788846,0.899768696993061,0.8996634543277411,1297.0
