,precision,recall,f1-score,support
0.0,0.8865979381443299,0.7747747747747747,0.8269230769230769,111.0
1.0,0.6929133858267716,0.6616541353383458,0.6769230769230768,133.0
2.0,0.8453038674033149,0.9329268292682927,0.8869565217391304,164.0
3.0,0.9292929292929293,0.8679245283018868,0.8975609756097561,106.0
4.0,0.5602836879432624,0.7669902912621359,0.6475409836065573,103.0
5.0,0.7608695652173914,0.8045977011494253,0.782122905027933,174.0
6.0,0.8079470198675497,0.6455026455026455,0.7176470588235294,189.0
accuracy,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326
macro avg,0.7833154848136499,0.7791958436567867,0.7765249426647228,980.0
weighted avg,0.7862318848664535,0.7755102040816326,0.7763703720949644,980.0
