,precision,recall,f1-score,support
0.0,0.9122257053291536,0.8609467455621301,0.8858447488584476,338.0
1.0,0.9568965517241379,0.9487179487179487,0.9527896995708154,468.0
2.0,0.8715596330275229,0.8775981524249422,0.8745684695051783,433.0
3.0,0.8734793187347932,0.9065656565656566,0.889714993804213,396.0
4.0,0.9540229885057471,0.9263392857142857,0.9399773499433748,448.0
5.0,0.9225181598062954,0.9292682926829269,0.9258809234507898,410.0
6.0,0.9040697674418605,0.9452887537993921,0.924219910846954,329.0
accuracy,0.9145995747696669,0.9145995747696669,0.9145995747696669,0.9145995747696669
macro avg,0.9135388749385014,0.913532119352469,0.9132851565685389,2822.0
weighted avg,0.915137031817,0.9145995747696669,0.9146441429530868,2822.0
