,precision,recall,f1-score,support
0.0,0.7837837837837838,0.8715846994535519,0.8253557567917206,366.0
1.0,0.8189655172413793,0.8715596330275229,0.8444444444444444,327.0
2.0,0.827027027027027,0.8571428571428571,0.8418156808803301,357.0
3.0,0.9070146818923328,0.8023088023088023,0.8514548238897397,693.0
4.0,0.9125766871165644,0.8711566617862372,0.8913857677902622,683.0
5.0,0.9291338582677166,0.8563134978229318,0.891238670694864,689.0
6.0,0.7690140845070422,0.8806451612903226,0.8210526315789473,310.0
7.0,0.7873417721518987,0.8785310734463276,0.8304405874499332,354.0
8.0,0.863013698630137,0.8725761772853186,0.8677685950413223,361.0
accuracy,0.857487922705314,0.857487922705314,0.857487922705314,0.857487922705314
macro avg,0.8442079011797647,0.8624242848404302,0.8516618842846183,4140.0
weighted avg,0.8624639653609509,0.857487922705314,0.8583204351244319,4140.0
