,precision,recall,f1-score,support
0.0,0.9206349206349206,0.9508196721311475,0.9354838709677418,244.0
1.0,0.9154411764705882,0.8767605633802817,0.8956834532374102,284.0
2.0,0.9485294117647058,0.9416058394160584,0.9450549450549451,274.0
3.0,0.9283154121863799,0.9217081850533808,0.9249999999999999,281.0
4.0,0.8955223880597015,0.9266409266409267,0.9108159392789373,259.0
5.0,0.9125475285171103,0.96,0.9356725146198831,250.0
6.0,0.9605263157894737,0.9049586776859504,0.9319148936170213,242.0
accuracy,0.9252998909487459,0.9252998909487459,0.9252998909487459,0.9252998909487459
macro avg,0.9259310219175542,0.9260705520439637,0.9256608023965626,1834.0
weighted avg,0.9257897783305687,0.9252998909487459,0.9252154205911357,1834.0
