,precision,recall,f1-score,support
0.0,0.7011070110701108,0.6785714285714286,0.6896551724137931,280.0
1.0,0.7954545454545454,0.839041095890411,0.8166666666666665,292.0
2.0,0.8170731707317073,0.8170731707317073,0.8170731707317073,328.0
3.0,0.7489711934156379,0.7193675889328063,0.7338709677419355,253.0
4.0,0.8,0.7619047619047619,0.7804878048780488,252.0
5.0,0.7058823529411765,0.7397260273972602,0.7224080267558528,292.0
6.0,0.7629179331306991,0.7652439024390244,0.7640791476407915,328.0
accuracy,0.7624691358024691,0.7624691358024691,0.7624691358024691,0.7624691358024691
macro avg,0.761629458106268,0.7601325679810571,0.7606058509755423,2025.0
weighted avg,0.7624825340405964,0.7624691358024691,0.7622140744935286,2025.0
