,precision,recall,f1-score,support
0.0,0.851123595505618,0.8706896551724138,0.8607954545454547,348.0
1.0,0.9565217391304348,0.9314516129032258,0.9438202247191011,496.0
2.0,0.9207920792079208,0.8857142857142857,0.9029126213592233,420.0
3.0,0.9071618037135278,0.926829268292683,0.9168900804289544,369.0
4.0,0.9334916864608076,0.9334916864608076,0.9334916864608076,421.0
5.0,0.910913140311804,0.9380733944954128,0.9242937853107345,436.0
6.0,0.9427710843373494,0.9427710843373494,0.9427710843373494,332.0
accuracy,0.9192062367115521,0.9192062367115521,0.9192062367115521,0.9192062367115521
macro avg,0.9175393040953518,0.9184315696251683,0.9178535624516606,2822.0
weighted avg,0.9196524811687511,0.9192062367115521,0.9192910987551846,2822.0
