,precision,recall,f1-score,support
0.0,0.9313725490196079,0.9895833333333334,0.9595959595959597,96.0
1.0,0.9401709401709402,0.9243697478991597,0.9322033898305084,119.0
2.0,0.96875,0.9393939393939394,0.9538461538461539,66.0
3.0,0.8879310344827587,1.0,0.9406392694063928,103.0
4.0,0.9805825242718447,0.9439252336448598,0.9619047619047619,107.0
5.0,0.9781021897810219,0.950354609929078,0.9640287769784173,141.0
6.0,0.9829059829059829,0.9274193548387096,0.954356846473029,124.0
accuracy,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
macro avg,0.9528307458045937,0.9535780312912971,0.9523678797193176,756.0
weighted avg,0.9542348993048965,0.9523809523809523,0.9524936804949328,756.0
