,precision,recall,f1-score,support
0.0,0.9226519337016574,0.9382022471910112,0.9303621169916434,178.0
1.0,0.891566265060241,0.8757396449704142,0.8835820895522388,169.0
2.0,0.8951612903225806,0.9327731092436975,0.9135802469135801,119.0
3.0,0.9298892988929889,0.9230769230769231,0.926470588235294,273.0
4.0,0.8686868686868687,0.8730964467005076,0.8708860759493671,197.0
5.0,0.9204545454545454,0.9050279329608939,0.9126760563380282,179.0
6.0,0.8839779005524862,0.8791208791208791,0.8815426997245179,182.0
accuracy,0.9036237471087124,0.9036237471087124,0.9036237471087124,0.9036237471087124
macro avg,0.9017697289530524,0.9038624547520467,0.9027285533863812,1297.0
weighted avg,0.9036756899063052,0.9036237471087124,0.9035826463578928,1297.0
