,precision,recall,f1-score,support
0.0,0.7756653992395437,0.6822742474916388,0.7259786476868327,299.0
1.0,0.7705479452054794,0.800711743772242,0.7853403141361256,281.0
2.0,0.7660818713450293,0.803680981595092,0.784431137724551,326.0
3.0,0.7110266159695817,0.7248062015503876,0.7178502879078694,258.0
4.0,0.7584905660377359,0.7790697674418605,0.7686424474187381,258.0
5.0,0.7132867132867133,0.7338129496402878,0.7234042553191491,278.0
6.0,0.7866242038216561,0.76,0.7730829420970268,325.0
accuracy,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555
macro avg,0.7545319021293914,0.7549079844987869,0.7541042903271846,2025.0
weighted avg,0.7561840111246791,0.7555555555555555,0.7552327208411554,2025.0
