,precision,recall,f1-score,support
0.0,0.9105691056910569,0.9911504424778761,0.9491525423728814,113.0
1.0,0.8863636363636364,0.78,0.8297872340425532,100.0
2.0,0.8,0.875,0.8358208955223881,64.0
3.0,0.9586776859504132,0.928,0.943089430894309,125.0
4.0,0.9158878504672897,0.9607843137254902,0.9377990430622011,102.0
5.0,0.9008264462809917,0.872,0.8861788617886179,125.0
6.0,0.9047619047619048,0.8976377952755905,0.901185770750988,127.0
accuracy,0.9034391534391535,0.9034391534391535,0.9034391534391535,0.9034391534391535
macro avg,0.8967266613593275,0.900653221639851,0.8975733969191341,756.0
weighted avg,0.904092608149212,0.9034391534391535,0.9027647220488223,756.0
